SAL_CODE,african,coloured,indian,white,other
2610024,36,339,0,0,3
2610045,312,75,9,132,3
2610051,36,579,0,0,3
2610002,39,105,0,15,0
2610003,9,120,0,33,0
2610004,12,132,0,18,0
2610005,18,126,0,15,0
2610006,6,156,0,30,0
2610007,42,120,0,33,0
2610008,36,117,0,54,3
2610009,12,177,0,39,0
2610010,36,138,0,54,0
2610011,39,165,0,39,0
2610012,24,195,0,51,0
2610013,9,216,0,54,0
2610014,18,216,0,57,0
2610018,72,111,3,129,0
2610022,54,237,6,63,0
2610026,54,288,0,45,0
2610027,24,318,0,51,0
2610033,24,342,3,72,0
2610048,24,456,0,99,0
2610054,174,363,0,99,0
2610055,75,489,0,81,0
2610015,18,21,0,264,9
2610019,108,84,0,120,9
2610023,39,39,0,285,0
2610025,33,63,0,279,9
2610031,117,120,6,183,6
2610034,60,45,0,333,3
2610038,156,36,0,270,3
2610042,48,315,0,123,3
2610043,372,84,3,27,6
2610050,144,84,0,360,3
2610020,120,216,3,9,3
2610039,36,411,0,0,21
2610044,18,504,0,0,0
2610058,18,666,0,0,0
2610061,21,675,15,0,0
2610072,18,813,3,0,0
2610075,12,891,3,0,0
2610076,18,903,9,0,0
2610077,24,924,15,0,3
2610079,39,936,9,3,0
2610083,57,975,0,0,9
2610084,18,1074,3,0,0
2610085,42,1056,15,0,3
2610086,36,1206,0,0,3
2610087,66,1311,9,0,0
2610088,30,1365,12,0,0
2610065,294,429,0,0,0
2610070,3,786,3,3,0
2610074,75,810,0,0,9
2610078,21,957,0,0,3
2610080,45,933,3,0,6
2610082,15,996,0,0,0
2610029,18,66,0,315,3
2610028,48,117,0,231,0
2610035,66,138,3,237,0
2610081,531,387,6,75,3
2610037,402,63,0,0,0
2610041,312,165,6,0,0
2610046,462,96,3,0,0
2610047,468,117,0,0,0
2610049,465,117,6,0,0
2610052,450,177,3,3,0
2610053,492,117,3,0,15
2610056,564,87,3,0,0
2610062,663,51,0,3,0
2610063,615,102,0,0,3
2610066,459,273,3,0,9
2610067,444,297,0,0,0
2610068,723,51,0,0,0
2610071,753,39,0,0,3
2610017,36,162,3,114,3
2610059,63,246,9,366,12
2610030,3,399,3,0,0
2610057,18,645,0,0,3
2610060,15,675,0,0,6
2610064,6,714,0,0,3
2610069,3,783,3,0,0
2610073,9,825,0,0,0
2610016,192,114,6,0,0
2610021,201,153,0,0,3
2610032,384,48,3,0,0
2610036,297,153,0,0,0
2610040,162,309,0,0,0
2610001,3,45,0,6,0
2620032,129,363,3,0,0
2620043,159,387,0,0,3
2620061,234,336,0,84,9
2620040,60,462,3,0,15
2620051,30,534,3,0,3
2620059,42,552,9,0,6
2620016,333,9,0,0,0
2620018,333,12,0,0,0
2620022,372,24,0,0,3
2620044,45,468,3,36,0
2620062,36,618,0,3,6
2620065,30,696,3,0,0
2620073,108,939,3,6,0
2620002,3,9,0,6,0
2620011,27,81,3,192,0
2620017,18,27,0,294,0
2620019,135,96,0,120,0
2620029,384,72,3,0,12
2620030,162,165,9,129,15
2620034,165,114,3,228,0
2620035,93,378,3,33,0
2620038,144,123,3,252,3
2620046,498,42,3,9,6
2620049,480,78,0,0,0
2620055,588,0,0,6,0
2620067,678,90,9,0,3
2620003,33,12,3,18,0
2620028,249,204,3,0,0
2620045,372,174,0,3,3
2620047,414,135,6,0,0
2620048,423,129,3,0,6
2620066,417,348,6,0,3
2620069,408,405,0,3,6
2620070,384,444,0,0,6
2620012,306,3,3,0,0
2620031,468,9,0,0,3
2620033,456,45,0,3,0
2620037,507,6,6,0,3
2620039,534,3,0,0,3
2620052,570,3,0,0,0
2620058,522,84,3,0,0
2620068,762,33,0,3,3
2620071,846,21,0,3,6
2620024,390,12,0,0,0
2620025,372,30,3,0,0
2620042,522,18,0,0,3
2620053,549,18,3,0,3
2620054,582,12,0,0,0
2620060,612,6,0,0,0
2620063,648,15,3,0,3
2620001,0,12,0,6,0
2620026,312,72,3,48,3
2620015,261,69,0,0,0
2620014,207,66,0,42,3
2620064,123,585,0,0,6
2620004,24,0,0,54,0
2620005,3,141,0,21,0
2620006,105,45,0,24,0
2620007,75,60,0,33,9
2620008,87,87,0,18,0
2620009,138,48,0,45,6
2620010,81,132,0,30,6
2620013,78,189,0,48,0
2620020,264,66,0,45,0
2620021,270,78,0,33,0
2620023,69,276,0,54,0
2620027,267,135,0,33,0
2620036,225,150,3,45,93
2620041,183,291,0,63,3
2620050,363,99,3,90,18
2620056,366,141,0,96,0
2620057,354,171,3,75,6
2620072,768,138,6,111,3
2630010,78,234,3,69,0
2630020,126,270,0,348,9
2630014,450,159,0,0,3
2630016,171,450,3,9,0
2630017,78,561,3,0,0
2630022,285,627,0,3,3
2630011,219,285,0,6,0
2630013,444,93,0,0,3
2630015,558,60,0,0,6
2630002,27,123,0,39,0
2630003,30,162,0,24,0
2630004,69,114,0,42,0
2630005,57,156,0,33,0
2630008,72,183,0,87,3
2630019,162,435,0,90,0
2630009,87,279,0,0,3
2630012,201,342,0,0,0
2630018,171,429,3,33,9
2630006,30,282,6,3,0
2630007,33,306,3,0,0
2630021,567,180,3,0,6
2630001,6,27,0,6,0
2640114,486,186,0,21,0
2640002,12,15,3,33,3
2640005,147,3,0,18,0
2640006,174,3,0,63,0
2640007,186,21,0,30,0
2640008,195,27,0,51,3
2640010,246,9,0,72,0
2640029,351,12,0,30,0
2640050,480,24,0,18,0
2640067,471,30,9,48,0
2640093,435,132,3,63,0
2640130,684,9,0,207,0
2640133,789,0,0,273,0
2640135,1053,12,6,114,6
2640137,1602,24,0,219,0
2640001,33,3,0,0,0
2640044,489,3,0,0,3
2640052,528,0,0,0,0
2640054,486,39,0,0,6
2640055,537,0,0,0,0
2640056,528,6,0,0,0
2640058,537,0,0,0,0
2640059,531,0,3,0,0
2640065,549,0,0,0,0
2640071,573,0,0,0,3
2640073,579,0,0,0,3
2640080,591,0,0,0,0
2640081,591,3,3,0,0
