Name,SAL_CODE,geo
3,9740383,"list(c(29.4943191596683, 29.4943432995494, 29.4946370014365, 29.4946088382419, 29.4943191596683, -23.9016885070452, -23.9017792379758, -23.9017289681437, -23.9016345588941, -23.9016885070452))"
72,1750049,"list(c(21.4078283836836, 21.4078283836836, 21.4078967800134, 21.4078940978044, 21.4078283836836, -34.3562012920616, -34.3562156849103, -34.3562167920524, -34.3562001849193, -34.3562012920616))"
82,1750049,"list(c(21.4104869221901, 21.4104936277126, 21.4105164264893, 21.4105137442803, 21.4104869221901, -34.3541010655767, -34.3541420308584, -34.3541420308584, -34.3541043870868, -34.3541010655767))"
85,1750049,"list(c(21.4057521740614, 21.4057508329569, 21.4058165470778, 21.4058178881823, 21.4057521740614, -34.3556443604089, -34.3556653962498, -34.3556642891004, -34.3556498961571, -34.3556443604089))"
91,1992385,"list(c(18.8088772696092, 18.8088558119371, 18.8088987272813, 18.8089282315805, 18.8088772696092, -34.0643470329328, -34.0643748075057, -34.0644003601046, -34.0643692525918, -34.0643470329328))"
103,1992385,"list(c(18.811251099601, 18.81125378181, 18.8113020615722, 18.8113007204677, 18.811251099601, -34.066481108532, -34.0665066604958, -34.0665088824054, -34.066481108532, -34.066481108532))"
112,1992385,"list(c(18.8144338428235, 18.8144217728829, 18.8144700526452, 18.8144848047947, 18.8144338428235, -34.0674893015347, -34.0675048547198, -34.0675304063749, -34.0675192969606, -34.0674893015347))"
121,1992385,"list(c(18.8145778384859, 18.8145255354101, 18.8145443108732, 18.8145952728444, 18.8145778384859, -34.065702407807, -34.0657690657003, -34.0657712876292, -34.0657090735987, -34.065702407807))"
125,1992385,"list(c(18.8157942202741, 18.8157821503335, 18.8158143368417, 18.8158357945138, 18.8157942202741, -34.0656479704886, -34.0656657459434, -34.06568463236, -34.0656713007722, -34.0656479704886))"
127,1992385,"list(c(18.8161509540731, 18.8160865810567, 18.8161174264604, 18.8161697295362, 18.8161509540731, -34.0658834949616, -34.0659468198261, -34.0659623732944, -34.0659034922923, -34.0658834949616))"
133,1992385,"list(c(18.8176158049607, 18.8175956883931, 18.8177043178582, 18.8177163877987, 18.8176158049607, -34.066435847618, -34.0664558448184, -34.0665236130735, -34.0665036158891, -34.066435847618))"
176,1992385,"list(c(18.8225918299766, 18.8225059992881, 18.8228815085502, 18.8229780680747, 18.8225918299766, -34.0702589402632, -34.0703811397889, -34.0705488861236, -34.0704311304532, -34.0702589402632))"
183,1992385,"list(c(18.8173755913163, 18.8173648624802, 18.8174386232281, 18.8174480109597, 18.8173755913163, -34.067986944082, -34.0679969424998, -34.0680391580284, -34.068026937746, -34.067986944082))"
184,1992385,"list(c(18.8137886568336, 18.8137792691021, 18.8138785108356, 18.8138852163582, 18.8137886568336, -34.0662927203296, -34.0663049408622, -34.0663516010612, -34.0663371586214, -34.0662927203296))"
187,1991147,"list(c(18.7006566386775, 18.7006700497226, 18.7006928484992, 18.7006780963496, 18.7006566386775, -33.9275517790813, -33.9275929516872, -33.9275918389143, -33.9275495535345, -33.9275517790813))"
189,1991147,"list(c(18.7005037527636, 18.7005010705546, 18.7006418865279, 18.7006378632144, 18.7005037527636, -33.9275551174015, -33.9275784856388, -33.9275506663079, -33.9275339747051, -33.9275551174015))"
192,1991147,"list(c(18.7003589448083, 18.7003696736443, 18.7004487988103, 18.7004273411382, 18.7003589448083, -33.9291501583462, -33.9291891046755, -33.9291701878892, -33.9291323543041, -33.9291501583462))"
196,1991147,"list(c(18.7001695811407, 18.7001695811407, 18.7002004265444, 18.7001977443354, 18.7001695811407, -33.9298052571312, -33.9298186100577, -33.9298263992639, -33.9298085953631, -33.9298052571312))"
201,1991147,"list(c(18.6996623326907, 18.6996609915862, 18.6996904958853, 18.6996918369899, 18.6996623326907, -33.9307349843489, -33.9308228901167, -33.9308262283086, -33.9307405480078, -33.9307349843489))"
216,1991147,"list(c(18.7004664650072, 18.7004034330954, 18.7004275729765, 18.7004798760523, 18.7004664650072, -33.9335063321779, -33.9335363749539, -33.9335541780754, -33.9335330368682, -33.9335063321779))"
226,1991147,"list(c(18.6998475166726, 18.6998327645231, 18.6998756798673, 18.6998931142259, 18.6998475166726, -33.9333711660132, -33.9333822929862, -33.9334390405257, -33.9334312516499, -33.9333711660132))"
236,1991147,"list(c(18.6998904320169, 18.699911889689, 18.6999722393918, 18.6999548050332, 18.6998904320169, -33.9339664570247, -33.9339742458515, -33.93394420323, -33.9339308509504, -33.9339664570247))"
253,1991147,"list(c(18.702375029214, 18.7023589359599, 18.7023656414825, 18.7023803936321, 18.702375029214, -33.9334373229438, -33.9334439991225, -33.9334606895672, -33.9334462245154, -33.9334373229438))"
263,7980627,"list(c(28.018047702589, 28.0180423381709, 28.0180651369476, 28.018058431425, 28.0180906179332, 28.0180906179332, 28.0181134167098, 28.0181147578143, 28.018047702589, -26.1351411138754, -26.1351543577288, -26.1351627856346, -26.1351772334719, -26.1351820494173, -26.1351663975941, -26.1351663975941, -26.1351483377956, -26.1351411138754))"
271,7980627,"list(c(28.0173328938865, 28.017323506155, 28.0173449638271, 28.0173543515586, 28.0173328938865, -26.135026619131, -26.1350783906, -26.1350807985747, -26.1350326390704, -26.135026619131))"
306,7980627,"list(c(28.0170241492664, 28.0170295136844, 28.0170134204303, 28.0170067149078, 28.0170241492664, -26.1328606389078, -26.1328233145842, -26.1328148865095, -26.1328534148461, -26.1328606389078))"
313,7980627,"list(c(28.0177711223766, 28.0177912389443, 28.0178113555119, 28.0178475653336, 28.0177711223766, -26.1325959925952, -26.1326345210041, -26.1326345210041, -26.1326128487756, -26.1325959925952))"
326,7980627,"list(c(28.0183115874931, 28.0182861065075, 28.0183156108067, 28.0183290218517, 28.0182995175526, 28.0183115874931, -26.1328175307728, -26.1328981994614, -26.1328933834218, -26.1328259588474, -26.1328103067084, -26.1328175307728))"
336,7980627,"list(c(28.0178412671167, 28.0178305382806, 28.0178600425798, 28.0178654069978, 28.0178412671167, -26.1321737489467, -26.1321906051881, -26.1321990333079, -26.1321845851021, -26.1321737489467))"
346,7980627,"list(c(28.0181635658261, 28.0181622247216, 28.0182011167523, 28.0182091633794, 28.0181635658261, -26.1315542874388, -26.1315735518167, -26.1315795719341, -26.1315627156045, -26.1315542874388))"
381,5670014,"list(c(30.5324811760859, 30.5324758116679, 30.5326340619998, 30.5326447908358, 30.5324811760859, -29.7265179682799, -29.7265377667837, -29.7265610591361, -29.7265412606369, -29.7265179682799))"
404,7982623,"list(c(27.9490707770362, 27.9490734592452, 27.949133808948, 27.949125762321, 27.9490707770362, -26.1054709082427, -26.1054901769209, -26.1054672953652, -26.1054468223905, -26.1054709082427))"
409,7982623,"list(c(27.9494422629847, 27.9494368985667, 27.9494824961199, 27.949490542747, 27.9494422629847, -26.1055347357271, -26.1055467786448, -26.1055564129781, -26.1055443700614, -26.1055347357271))"
421,7982623,"list(c(27.9489645471564, 27.9489725937839, 27.9490235557578, 27.9490168502349, 27.9489645471564, -26.1065272162644, -26.106540463362, -26.1065139691653, -26.1065019263466, -26.1065272162644))"
424,7982623,"list(c(27.9499238844067, 27.9499064500481, 27.9499346132427, 27.9499560709148, 27.9499238844067, -26.107051880661, -26.1070615148702, -26.1070880089415, -26.1070831918381, -26.107051880661))"
429,7982623,"list(c(27.9504697139412, 27.9504335041195, 27.9504469151646, 27.9504858071953, 27.9504697139412, -26.1077202520436, -26.1077708313441, -26.1077840783001, -26.1077262733901, -26.1077202520436))"
450,7982623,"list(c(27.950666395841, 27.9506637136319, 27.9506972412446, 27.9507026056627, 27.950666395841, -26.1062046794161, -26.1062239479734, -26.1062215394039, -26.106205883701, -26.1062046794161))"
451,7982623,"list(c(27.9506315271238, 27.9506275038102, 27.9506865124086, 27.9506959001401, 27.9506315271238, -26.1062299693969, -26.1062408079584, -26.106244420812, -26.1062311736815, -26.1062299693969))"
455,7982623,"list(c(27.9516789297441, 27.9516802708486, 27.9517419616559, 27.9517392794469, 27.9516789297441, -26.1064816646218, -26.1064973202878, -26.1064816646218, -26.106467213236, -26.1064816646218))"
509,7971041,"list(c(28.1856580525977, 28.1856513470751, 28.1857237667185, 28.1857304722411, 28.1856580525977, -25.9039098221134, -25.9039267111664, -25.9039315366097, -25.9039146475574, -25.9039098221134))"
510,7971041,"list(c(28.1854488402945, 28.18544749919, 28.1854810268027, 28.1854863912207, 28.1854488402945, -25.9040956015634, -25.904108871513, -25.9041173160255, -25.9040980142817, -25.9040956015634))"
514,7971041,"list(c(28.1864091931502, 28.1864172397773, 28.1864668606441, 28.1864668606441, 28.1864091931502, -25.9046469784629, -25.9046626610571, -25.9046361212811, -25.9046204386834, -25.9046469784629))"
542,7971041,"list(c(28.1872470863668, 28.1872417219488, 28.1873060949651, 28.1873168238012, 28.1872470863668, -25.9052890993943, -25.9053108136367, -25.9053180517166, -25.9053023692095, -25.9052890993943))"
546,7971041,"list(c(28.1882891245691, 28.1882958300916, 28.188365567526, 28.188357520899, 28.1882891245691, -25.905483321087, -25.9055050352937, -25.9054784957072, -25.905459194186, -25.905483321087))"
