Name,SAL_CODE,geo
8,1610055,"list(c(19.0116336964641, 19.0113171958003, 19.0109993540321, 19.0110422693763, 19.0113560878311, 19.0116752707038, 19.0116336964641, -32.583408685107, -32.5834719665345, -32.5835544583283, -32.5837341319726, -32.5836539003898, -32.5835815789015, -32.583408685107))"
22,4750097,"list(c(27.2711683127561, 27.2711750182786, 27.2712487790265, 27.2712380501904, 27.2711683127561, -27.6249165071117, -27.6249295775453, -27.6249188835543, -27.6248998720122, -27.6249165071117))"
185,7974452,"list(c(28.1406163153774, 28.1406163153774, 28.1405827877647, 28.1405935166007, 28.1407209215289, 28.1407115337974, 28.1406163153774, -26.3473481248239, -26.3473721606322, -26.347375766003, -26.347439460869, -26.3474214340237, -26.3473397122897, -26.3473481248239))"
352,1990924,"list(c(18.4756690628347, 18.4756288296995, 18.4756556517896, 18.4757012493429, 18.4756690628347, -34.0440573391784, -34.0440740079123, -34.0441151241086, -34.0440928991401, -34.0440573391784))"
362,2620003,"list(c(25.6158865213526, 25.6159294366969, 25.6159495532645, 25.6159093201293, 25.6158865213526, -32.744949295979, -32.7450575824886, -32.7450530705533, -32.744943656053, -32.744949295979))"
363,2620003,"list(c(25.6158744514121, 25.6158516526354, 25.6158972501887, 25.6159213900698, 25.6158744514121, -32.7449526799344, -32.7449628317999, -32.7450699903094, -32.7450598384562, -32.7449526799344))"
364,1760117,"list(c(22.0891608414597, 22.0891608414597, 22.0892292377896, 22.0892319199986, 22.0891608414597, -34.1818356852566, -34.1818767345417, -34.1818800628613, -34.1818434513391, -34.1818356852566))"
691,3830059,"list(c(24.7441786413581, 24.7441826646717, 24.7442296033294, 24.7442282622249, 24.7441786413581, -28.7440670857993, -28.7440858993815, -28.7440753167419, -28.744058854856, -28.7440670857993))"
843,7971555,"list(c(28.3081417052142, 28.3081685273043, 28.3082087604395, 28.3081846205584, 28.3081417052142, -26.1898625718371, -26.1899034881775, -26.1898818265873, -26.1898457239281, -26.1898625718371))"
894,5740075,"list(c(30.2307289744105, 30.2307450676646, 30.2307826185908, 30.2307665253367, 30.2307289744105, -28.1696752786929, -28.1696941947757, -28.1696634561394, -28.1696469045623, -28.1696752786929))"
