system:index,PANELID,first,.geo
00000000000000000000,1,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,3,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,5,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e8c,3725,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e8d,3726,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e8e,3727,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e8f,3728,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e90,3729,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e91,3730,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e92,3731,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e93,3732,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e94,3733,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e95,3734,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e96,3735,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e97,3736,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e98,3737,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e99,3738,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e9a,3739,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e9b,3740,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,6,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004bc,1213,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004bd,1214,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004be,1215,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004bf,1216,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c0,1217,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c1,1218,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c2,1219,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c3,1220,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c4,1221,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c5,1222,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c6,1223,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e9c,3741,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,7,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004dc,1245,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004dd,1246,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004de,1247,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004df,1248,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e0,1249,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e1,1250,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e2,1251,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e3,1252,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e4,1253,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e5,1254,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e6,1255,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e7,1256,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e8,1257,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e9,1258,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004ea,1259,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004eb,1260,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
