Name,SAL_CODE,latestImageYear,installationYear,Zan Notes,Sam Notes
3,9740383,2024,2022,,Possibly installed earlier in 2017!
72,1750049,2024,2019,,"Agree, 2019"
82,1750049,2024,2021,,"Agree, 2021"
85,1750049,2024,2021,,"Agree, 2021"
91,1992385,2023,2017,This one was hard! See if you agree with me?,"Agree! definitely there 2018, but not there in 2017. BUT I see latest image year is 2024, not 2023?"
103,1992385,2023,2017,Also very difficult,Agree with 2017
112,1992385,2023,2022,,Agree with 2022
121,1992385,2023,2022,,Agree with 2022
125,1992385,2023,2022,,Agree with 2022
127,1992385,unsure,unsure,,"Latest year is 2023, not sure, but I think it was 2014 when the house was built, but this is not a pool panel?"
133,1992385,unsure,unsure,,"Latest year is 2023, not sure, cuold be 2019, but think I see the one pane from when the house was built in 2009."
176,1992385,2023,2019,,Agree on years
183,1992385,2023,2023,,Sam assessment from now
184,1992385,2023,2020,,
187,1991147,2024,2022,,Nice and easy one
189,1991147,2024,2022,,Nice and easy one
192,1991147,2024,2022,,
196,1991147,2024,2019,,
201,1991147,2024,2015,,
216,1991147,2024,2022,,
226,1991147,2024,2023,,"The house was not there Jan 2023 and then was there Jan 2024 with panels, so assume was built and finished by end of 2023."
236,1991147,2024,2023,,"The house was not there Jan 2023 and then was there Jan 2024 with panels, so assume was built and finished by end of 2023."
253,1991147,2024,2022,,
263,7980627,2024,2023,,"No panels Oct 2022 then skips to Feb 2024 with panel, so think they were prob installed in 2023?"
271,7980627,2024,2023,,"No panels Oct 2022 then skips to Feb 2024 with panel, so think they were prob installed in 2023?"
306,7980627,2024,2023,,"No panels Oct 2022 then skips to Feb 2024 with panel, so think they were prob installed in 2023?"
313,7980627,2024,2018,,
326,7980627,2024,2022,,
336,7980627,2024,2021,,
346,7980627,2024,2023,,"No panels Oct 2022 then skips to Feb 2024 with panel, so think they were prob installed in 2023?"
381,5670014,2024,2022,,
404,7982623,2024,2023,,"No panels Jan 2023, but then there March 2024"
409,7982623,2024,2021,,
421,7982623,2024,2023,,"No panels Jan 2023, but then there March 2024"
424,7982623,2024,2023,,"No panels Jan 2023, but then there March 2024"
429,7982623,2024,2023,,"No panels Jan 2023, but then there March 2024"
450,7982623,2024,2023,,"No panels Jan 2023, but then there March 2024"
451,7982623,2024,2023,,"No panels Jan 2023, but then there March 2024"
455,7982623,2024,2023,,"No panels Jan 2023, but then there March 2024"
509,7971041,2024,2021,,"I think this polygon includes some solar geysers? Non-solar geyser panels installed in 2021, but solar geysers earlier (2011 I think! Possibly 2008?)"
510,7971041,2024,2009,,Is one of these a solar geyser?
514,7971041,2024,2019,,"Polygon doesnt cover all panels. Not here Feb 2019, but installed Jan 2020."
542,7971041,2024,2022,,
546,7971041,2024,2023,,"Not there Dec 2022, but there March 2024"
563,7971041,2024,2022,,
570,7971041,2024,2022,,"No panels Aug 2021, but there March 2022."
574,7971041,2024,2021,,
575,7971041,2024,2022,,"Half panels installed in 2022, 2023 (well not there Dec 2022, but there in 2024)"
595,7971041,2024,2019,,"Not there Aug 2019, but there Jan 2020"
606,7971041,2024,2023,,"Not there Dec 2022, but there March 2024"
616,7971041,2024,2021,,"Not there Aug 2021, but there March 2024"
624,7971041,2024,2019,,
633,7971041,2024,2022,,
639,7971041,2024,2023,,"There Mar 2024, but not Dec 2022"
645,7971041,2024,2020,,
