SAL_CODE,geoType,geoTypeNum,areaType,areaTypeNum
1600004,urban,1,residen_formal,1
1600009,urban,1,residen_formal,1
1600011,urban,1,residen_informal,2
1600012,urban,1,residen_formal,1
1600013,urban,1,residen_formal,1
1600015,urban,1,residen_formal,1
1600017,urban,1,residen_formal,1
1600018,urban,1,residen_formal,1
1600019,urban,1,residen_formal,1
1600020,urban,1,residen_formal,1
1600021,urban,1,residen_formal,1
1600022,urban,1,residen_formal,1
1600025,urban,1,residen_formal,1
1600026,urban,1,residen_formal,1
1600027,urban,1,residen_formal,1
1600028,urban,1,residen_formal,1
1600029,urban,1,residen_formal,1
1600030,urban,1,residen_formal,1
1600032,urban,1,residen_formal,1
1600033,urban,1,residen_formal,1
1600036,urban,1,residen_formal,1
1600037,urban,1,residen_formal,1
1600038,urban,1,residen_formal,1
1600039,urban,1,residen_formal,1
1600041,urban,1,residen_formal,1
1600045,urban,1,residen_formal,1
1600046,urban,1,residen_formal,1
1600047,urban,1,residen_formal,1
1600048,urban,1,residen_formal,1
1600050,urban,1,residen_formal,1
1600051,urban,1,residen_formal,1
1600052,urban,1,residen_formal,1
1600053,urban,1,residen_formal,1
1600054,urban,1,residen_formal,1
1600055,urban,1,residen_formal,1
1600056,urban,1,residen_formal,1
1600057,urban,1,residen_formal,1
1600059,urban,1,residen_formal,1
1600060,urban,1,residen_formal,1
1600061,urban,1,residen_formal,1
1600062,urban,1,residen_formal,1
1600063,urban,1,residen_formal,1
1600064,urban,1,residen_formal,1
1600065,urban,1,residen_formal,1
1600067,urban,1,residen_formal,1
1600068,urban,1,residen_formal,1
1600069,urban,1,residen_formal,1
1600070,urban,1,residen_formal,1
1600071,urban,1,residen_formal,1
1600072,urban,1,residen_formal,1
1600073,urban,1,residen_formal,1
1600074,urban,1,residen_formal,1
1600075,urban,1,residen_formal,1
1600076,urban,1,residen_formal,1
1600077,urban,1,residen_formal,1
1600078,urban,1,residen_formal,1
1600079,urban,1,residen_formal,1
1600080,urban,1,residen_formal,1
1600081,urban,1,residen_formal,1
1600084,urban,1,residen_formal,1
1600086,urban,1,commercial,5
1600089,urban,1,industrial,6
1600090,urban,1,residen_formal,1
1600091,urban,1,commercial,5
1600094,urban,1,vacant,7
1610008,urban,1,residen_formal,1
1610009,urban,1,residen_formal,1
1610010,urban,1,residen_formal,1
1610012,urban,1,residen_formal,1
1610013,urban,1,residen_formal,1
1610014,urban,1,residen_formal,1
1610015,urban,1,residen_formal,1
1610016,urban,1,vacant,7
1610017,urban,1,residen_formal,1
1610018,urban,1,residen_formal,1
1610019,urban,1,residen_formal,1
1610020,urban,1,residen_formal,1
1610022,urban,1,residen_formal,1
1610023,urban,1,residen_formal,1
1610024,urban,1,residen_formal,1
1610025,urban,1,residen_formal,1
1610026,urban,1,residen_formal,1
1610027,urban,1,residen_formal,1
1610028,urban,1,residen_informal,2
1610029,urban,1,residen_formal,1
1610030,urban,1,residen_formal,1
1610033,urban,1,residen_formal,1
1610034,urban,1,residen_formal,1
1610035,urban,1,residen_formal,1
1610036,urban,1,residen_formal,1
1610037,urban,1,residen_formal,1
1610038,urban,1,residen_formal,1
1610039,urban,1,residen_formal,1
1610040,urban,1,residen_formal,1
1610041,urban,1,residen_formal,1
1610042,urban,1,residen_formal,1
1610043,urban,1,residen_formal,1
1610044,urban,1,residen_formal,1
1610046,urban,1,residen_formal,1
1610047,urban,1,residen_formal,1
1610048,urban,1,residen_formal,1
1610049,urban,1,residen_formal,1
1610051,urban,1,commercial,5
1610052,urban,1,residen_formal,1
1610053,urban,1,NA,NA
1610054,urban,1,residen_formal,1
1610055,urban,1,industrial,6
1610056,urban,1,residen_informal,2
1610057,urban,1,residen_informal,2
1610058,urban,1,residen_informal,2
1610059,urban,1,vacant,7
1620009,urban,1,residen_formal,1
1620010,urban,1,residen_formal,1
1620011,urban,1,residen_formal,1
1620013,urban,1,residen_formal,1
1620014,urban,1,residen_formal,1
1620015,urban,1,residen_formal,1
1620016,urban,1,residen_formal,1
1620017,urban,1,residen_formal,1
1620018,urban,1,residen_formal,1
1620019,urban,1,residen_formal,1
1620020,urban,1,residen_formal,1
1620022,urban,1,residen_formal,1
1620023,urban,1,residen_formal,1
1620024,urban,1,residen_formal,1
1620025,urban,1,residen_formal,1
1620026,urban,1,residen_formal,1
1620027,urban,1,residen_formal,1
1620028,urban,1,residen_formal,1
1620029,urban,1,residen_formal,1
1620031,urban,1,collective,4
1620032,urban,1,residen_formal,1
1620033,urban,1,residen_formal,1
1620034,urban,1,residen_formal,1
1620035,urban,1,residen_formal,1
1620036,urban,1,residen_formal,1
1620037,urban,1,residen_formal,1
1620038,urban,1,residen_formal,1
1620039,urban,1,residen_formal,1
1620040,urban,1,residen_formal,1
1620041,urban,1,residen_formal,1
1620042,urban,1,residen_formal,1
1620043,urban,1,residen_formal,1
1620044,urban,1,residen_formal,1
1620045,urban,1,residen_formal,1
1620046,urban,1,residen_formal,1
1620047,urban,1,residen_formal,1
1620048,urban,1,residen_formal,1
1620049,urban,1,residen_formal,1
1620050,urban,1,residen_formal,1
1620051,urban,1,residen_formal,1
1620052,urban,1,residen_formal,1
1620053,urban,1,residen_formal,1
1620055,urban,1,residen_formal,1
1620056,urban,1,residen_formal,1
1620057,urban,1,residen_formal,1
1620058,urban,1,residen_formal,1
1620059,urban,1,residen_formal,1
1620060,urban,1,residen_formal,1
1620061,urban,1,residen_formal,1
1620062,urban,1,residen_formal,1
1620063,urban,1,residen_formal,1
1620064,urban,1,residen_formal,1
1620065,urban,1,residen_formal,1
1620067,urban,1,residen_formal,1
1620069,urban,1,residen_formal,1
1620070,urban,1,residen_formal,1
1620071,urban,1,residen_formal,1
1620072,urban,1,residen_formal,1
1620073,urban,1,residen_formal,1
1620074,urban,1,industrial,6
1630001,urban,1,collective,4
1630002,urban,1,residen_formal,1
1630003,urban,1,residen_formal,1
1630004,urban,1,residen_formal,1
1630005,urban,1,commercial,5
1630006,urban,1,residen_formal,1
1630007,urban,1,residen_formal,1
1630008,urban,1,residen_formal,1
1630009,urban,1,residen_formal,1
1630010,urban,1,residen_formal,1
1630011,urban,1,residen_formal,1
1630012,urban,1,residen_formal,1
1630013,urban,1,NA,NA
1630014,urban,1,residen_formal,1
1630015,urban,1,residen_formal,1
1630016,urban,1,residen_formal,1
1630017,urban,1,residen_formal,1
1630018,urban,1,residen_formal,1
1630019,urban,1,residen_formal,1
1630020,urban,1,residen_formal,1
1630021,urban,1,residen_formal,1
1630022,urban,1,residen_formal,1
1630023,urban,1,residen_formal,1
1630024,urban,1,residen_formal,1
1630025,urban,1,residen_formal,1
1630026,urban,1,residen_formal,1
1630027,urban,1,residen_formal,1
1630028,urban,1,residen_formal,1
1630029,urban,1,residen_formal,1
1630030,urban,1,residen_formal,1
1630031,urban,1,residen_formal,1
1630032,urban,1,residen_formal,1
1630033,urban,1,residen_formal,1
1630034,urban,1,residen_formal,1
1630035,urban,1,residen_formal,1
1630036,urban,1,residen_formal,1
1630037,urban,1,residen_formal,1
1630038,urban,1,residen_formal,1
1630039,urban,1,residen_formal,1
1630040,urban,1,residen_formal,1
1630041,urban,1,residen_formal,1
1630042,urban,1,residen_formal,1
1630043,urban,1,residen_formal,1
1630044,urban,1,residen_formal,1
1630045,urban,1,residen_formal,1
1630046,urban,1,residen_formal,1
1630047,urban,1,residen_formal,1
1630048,urban,1,residen_formal,1
1630049,urban,1,residen_formal,1
1630050,urban,1,residen_formal,1
1630051,urban,1,residen_formal,1
1630052,urban,1,residen_formal,1
1630053,urban,1,residen_formal,1
1630054,urban,1,residen_formal,1
1630055,urban,1,residen_formal,1
1630056,urban,1,residen_formal,1
1630057,urban,1,residen_formal,1
1630058,urban,1,residen_formal,1
1630059,urban,1,residen_formal,1
1630060,urban,1,residen_formal,1
1630061,urban,1,residen_formal,1
1630062,urban,1,residen_formal,1
1630063,urban,1,residen_formal,1
1630064,urban,1,residen_formal,1
1630065,urban,1,residen_formal,1
1630066,urban,1,residen_formal,1
1630068,urban,1,residen_formal,1
1630069,urban,1,residen_formal,1
1630070,urban,1,residen_formal,1
1630071,urban,1,residen_formal,1
1630072,urban,1,residen_formal,1
1630073,urban,1,residen_formal,1
1630074,urban,1,residen_formal,1
1630075,urban,1,residen_formal,1
1630076,urban,1,residen_formal,1
1630077,urban,1,residen_formal,1
1630078,urban,1,residen_formal,1
1630079,urban,1,residen_formal,1
1630080,urban,1,residen_formal,1
1630081,urban,1,residen_formal,1
1630082,urban,1,residen_formal,1
1630083,urban,1,residen_formal,1
1630084,urban,1,residen_formal,1
1630085,urban,1,residen_formal,1
1630086,urban,1,residen_formal,1
1630089,urban,1,residen_formal,1
1630090,urban,1,residen_formal,1
1630091,urban,1,residen_formal,1
1630092,urban,1,residen_formal,1
1630093,urban,1,residen_formal,1
1630094,urban,1,residen_formal,1
1630096,urban,1,residen_formal,1
1630097,urban,1,residen_formal,1
1630098,urban,1,residen_formal,1
1630099,urban,1,residen_formal,1
1630100,urban,1,residen_formal,1
1630101,urban,1,residen_formal,1
1630102,urban,1,residen_formal,1
1630103,urban,1,residen_formal,1
1630104,urban,1,residen_formal,1
1630105,urban,1,residen_formal,1
1630106,urban,1,residen_formal,1
1630107,urban,1,residen_formal,1
1630108,urban,1,residen_formal,1
1630109,urban,1,residen_formal,1
1630110,urban,1,residen_formal,1
1630111,urban,1,residen_formal,1
1630112,urban,1,residen_formal,1
1630113,urban,1,residen_formal,1
1630114,urban,1,residen_formal,1
1630115,urban,1,residen_formal,1
1630116,urban,1,residen_formal,1
1630117,urban,1,residen_formal,1
1630118,urban,1,residen_formal,1
1630119,urban,1,residen_formal,1
1630120,urban,1,residen_formal,1
1630121,urban,1,residen_formal,1
1630122,urban,1,residen_formal,1
1630123,urban,1,residen_formal,1
1630124,urban,1,residen_formal,1
1630125,urban,1,residen_formal,1
1630126,urban,1,residen_formal,1
1630127,urban,1,residen_formal,1
1630128,urban,1,residen_formal,1
1630129,urban,1,residen_formal,1
1630130,urban,1,residen_formal,1
1630131,urban,1,residen_formal,1
1630132,urban,1,residen_formal,1
1630133,urban,1,residen_formal,1
1630134,urban,1,residen_formal,1
1630135,urban,1,residen_formal,1
1630136,urban,1,residen_formal,1
1630137,urban,1,residen_formal,1
1630138,urban,1,residen_formal,1
1630139,urban,1,residen_formal,1
1630140,urban,1,residen_formal,1
1630141,urban,1,residen_formal,1
1630142,urban,1,residen_formal,1
1630143,urban,1,residen_formal,1
1630144,urban,1,residen_formal,1
1630145,urban,1,residen_formal,1
1630146,urban,1,residen_formal,1
1630147,urban,1,residen_formal,1
1630148,urban,1,residen_formal,1
1630149,urban,1,residen_formal,1
1630150,urban,1,residen_formal,1
1630152,urban,1,residen_formal,1
1630153,urban,1,residen_formal,1
1630154,urban,1,residen_formal,1
1630155,urban,1,residen_formal,1
1630156,urban,1,residen_formal,1
1630157,urban,1,residen_formal,1
1630158,urban,1,residen_formal,1
1630160,urban,1,residen_formal,1
1630161,urban,1,residen_formal,1
1630162,urban,1,residen_formal,1
1630163,urban,1,residen_formal,1
1630165,urban,1,residen_formal,1
1630166,urban,1,small_hold,9
1630167,urban,1,small_hold,9
1630168,urban,1,NA,NA
1630169,urban,1,residen_formal,1
1630170,urban,1,residen_formal,1
1630171,urban,1,residen_formal,1
1630172,urban,1,NA,NA
1630173,urban,1,residen_formal,1
1630174,urban,1,residen_formal,1
1630175,urban,1,residen_formal,1
1630176,urban,1,residen_formal,1
1630177,urban,1,residen_formal,1
1630178,urban,1,residen_formal,1
1630179,urban,1,residen_formal,1
1630180,urban,1,residen_formal,1
1630181,urban,1,residen_formal,1
1630182,urban,1,residen_formal,1
1630184,urban,1,industrial,6
1630185,urban,1,vacant,7
1640005,urban,1,residen_formal,1
1640006,urban,1,residen_formal,1
1640007,urban,1,collective,4
1640008,urban,1,residen_formal,1
1640010,urban,1,residen_formal,1
1640011,urban,1,residen_formal,1
1640013,urban,1,residen_formal,1
1640016,urban,1,residen_formal,1
1640017,urban,1,residen_formal,1
1640019,urban,1,residen_formal,1
1640020,urban,1,residen_formal,1
1640021,urban,1,residen_formal,1
1640022,urban,1,residen_formal,1
1640023,urban,1,residen_formal,1
1640025,urban,1,residen_formal,1
1640026,urban,1,residen_formal,1
1640027,urban,1,residen_formal,1
1640028,urban,1,residen_formal,1
1640029,urban,1,residen_formal,1
1640030,urban,1,residen_formal,1
1640031,urban,1,residen_formal,1
1640032,urban,1,residen_formal,1
1640033,urban,1,residen_formal,1
1640034,urban,1,residen_formal,1
1640035,urban,1,residen_formal,1
1640036,urban,1,residen_formal,1
1640037,urban,1,residen_formal,1
1640038,urban,1,residen_formal,1
1640039,urban,1,residen_formal,1
1640040,urban,1,residen_formal,1
1640041,urban,1,residen_formal,1
1640042,urban,1,residen_formal,1
1640043,urban,1,residen_formal,1
1640044,urban,1,residen_formal,1
1640045,urban,1,residen_formal,1
1640046,urban,1,residen_formal,1
1640047,urban,1,residen_formal,1
1640048,urban,1,residen_formal,1
1640049,urban,1,residen_formal,1
1640050,urban,1,residen_formal,1
1640051,urban,1,residen_formal,1
1640052,urban,1,residen_formal,1
1640053,urban,1,residen_formal,1
1640054,urban,1,residen_formal,1
1640055,urban,1,residen_formal,1
1640056,urban,1,residen_formal,1
1640057,urban,1,residen_formal,1
1640058,urban,1,residen_formal,1
1640059,urban,1,residen_formal,1
1640060,urban,1,residen_formal,1
1640061,urban,1,residen_formal,1
1640062,urban,1,residen_formal,1
1640063,urban,1,residen_formal,1
1640064,urban,1,residen_formal,1
1640065,urban,1,residen_formal,1
1640066,urban,1,residen_formal,1
1640067,urban,1,residen_formal,1
1640068,urban,1,residen_formal,1
1640069,urban,1,residen_formal,1
1640070,urban,1,residen_formal,1
1640071,urban,1,residen_formal,1
1640072,urban,1,residen_formal,1
1640077,urban,1,residen_formal,1
1640078,urban,1,residen_formal,1
1640079,urban,1,residen_formal,1
1640081,urban,1,residen_formal,1
1640082,urban,1,residen_formal,1
1640083,urban,1,residen_formal,1
1640084,urban,1,residen_formal,1
1640085,urban,1,residen_formal,1
1640086,urban,1,residen_formal,1
1640087,urban,1,residen_formal,1
1640089,urban,1,residen_formal,1
1640090,urban,1,residen_formal,1
1640091,urban,1,residen_formal,1
1640092,urban,1,residen_formal,1
1640093,urban,1,residen_formal,1
1640094,urban,1,residen_formal,1
1640095,urban,1,residen_formal,1
1640098,urban,1,residen_formal,1
1640099,urban,1,residen_formal,1
1640100,urban,1,residen_formal,1
1640101,urban,1,residen_formal,1
